鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總件數,總車位數,平均總價元,平均車位總價元
土城區,房地(土地+建物)+車位,金安街1~30號,28.86,都市：其他:道路用地,,,1100204,土地3建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840815,145.69,4,2,2,有,有,10600000,72757,坡道機械,0.0,0,,RPQRMLMLKHGGFAF57DA,93.1,1.72,21.06,有,,5,1,2120000,0
板橋區,房地(土地+建物)+車位,華江一路361~390號,18.52,都市：其他:第二種住宅區,,,1061124,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091007,161.05,3,2,2,有,有,20000000,140559,坡道平面,35.48,2350000,換約日期109.07.28，交易金額20600000元預售屋、或土地及建物分次登記案件;,RPTPMLMLKHGGFAF67DA,72.91,0.0,11.14,有,,3,1,6666666,2350000
板橋區,房地(土地+建物),華江一路361~390號,12.5,都市：其他:第二種住宅區,,,1061125,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091007,86.05,2,1,1,有,有,11750000,136549,,0.0,0,預售屋、或土地及建物分次登記案件;,RPUPMLMLKHGGFAF77DA,47.71,6.15,3.75,有,,2,0,5875000,0
板橋區,房地(土地+建物)+車位,華江一路361~390號,12.19,都市：其他:第二種住宅區,,,1061110,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091007,111.43,2,1,1,有,有,12680000,133768,坡道平面,31.59,2000000,預售屋、或土地及建物分次登記案件;,RPVPMLMLKHGGFAF87DA,44.88,4.53,3.32,有,,3,1,4226666,2000000
板橋區,房地(土地+建物)+車位,華江一路391~420號,9.65,都市：其他:第二種住宅區,,,1061220,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091007,96.17,2,1,1,有,有,10150000,129297,坡道平面,31.59,1800000,預售屋、或土地及建物分次登記案件;,RPWPMLMLKHGGFAF97DA,38.92,0.0,4.32,有,,3,1,3383333,1800000
板橋區,房地(土地+建物)+車位,華江一路391~420號,12.59,都市：其他:第二種住宅區,,,1061109,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091007,117.49000000000001,3,1,2,有,有,12850000,126784,坡道平面,32.7,2100000,預售屋、或土地及建物分次登記案件;,RPXPMLMLKHGGFAF08DA,52.29,0.0,4.48,有,,3,1,4283333,2100000
板橋區,房地(土地+建物)+車位,華江一路391~420號,17.65,都市：其他:第二種住宅區,,,1070123,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091007,152.32999999999998,3,1,2,有,有,18960000,140099,坡道平面,32.7,2200000,預售屋、或土地及建物分次登記案件;,RPOQMLMLKHGGFAF27DA,65.44,8.31,6.34,有,,3,1,6320000,2200000
土城區,房地(土地+建物),中央路二段149巷10弄1~30號,7.9,都市：其他:第二種住宅區,,,1100129,土地4建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.23,2,2,1,有,有,8100000,124176,,0.0,0,,RPPQMLMLKHGGFAF37DA,49.25,0.0,6.51,有,335.0,5,0,1620000,0
板橋區,房地(土地+建物),金門街31~60號,15.76,都市：其他:第一種住宅區,,,1100124,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990910,85.55000000000001,4,1,1,有,有,9050000,105786,,0.0,0,,RPSPMLTKKHGGFAF18DA,47.51,4.26,9.75,有,336.0,2,0,4525000,0
板橋區,房地(土地+建物)+車位,國慶路158巷1~30號,17.38,都市：其他:住宅區,,,1100116,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960723,133.92000000000002,3,2,2,有,有,17120000,127838,坡道機械,16.29,0,陽台外推;,RPXNMLSJKHGGFAF28DA,75.42,1.5,8.05,有,,3,1,5706666,0
土城區,房地(土地+建物),立德路91~120號,2.32,都市：其他:市場用地,,,1091207,土地2建物1車位0,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871123,35.49,1,0,1,有,有,4350000,122570,,0.0,0,,RPXPMLSJKHGGFAF48DA,21.58,0.0,6.17,有,,3,0,1450000,0
